Processing complete!
Files with errors: 2707

============================================================
TIME SIGNATURE STATISTICS:
============================================================
Total distinct time signatures found: 334
Total time signature annotations: 6,784,003,598

All time signatures found (sorted by frequency):
   1. 4/4     : 3,478,554,075 occurrences ( 51.28%)
   2. 3/4     : 3,074,920,225 occurrences ( 45.33%)
   3. 2/4     : 71,443,474 occurrences (  1.05%)
   4. 6/8     : 43,981,098 occurrences (  0.65%)
   5. 2/2     : 30,825,759 occurrences (  0.45%)
   6. 12/8    : 15,555,039 occurrences (  0.23%)
   7. 6/4     : 11,546,645 occurrences (  0.17%)
   8. 3/8     :  9,574,504 occurrences (  0.14%)
   9. 4/2     :  7,711,271 occurrences (  0.11%)
  10. 5/4     :  6,164,759 occurrences (  0.09%)
  11. 3/2     :  4,616,055 occurrences (  0.07%)
  12. 9/8     :  4,170,328 occurrences (  0.06%)
  13. 7/8     :  3,068,393 occurrences (  0.05%)
  14. 1/4     :  2,810,164 occurrences (  0.04%)
  15. 8/4     :  2,502,052 occurrences (  0.04%)
  16. 8/8     :  2,266,727 occurrences (  0.03%)
  17. 7/4     :  2,212,175 occurrences (  0.03%)
  18. 4/8     :  1,899,480 occurrences (  0.03%)
  19. 5/8     :  1,254,795 occurrences (  0.02%)
  20. 2/1     :    760,310 occurrences (  0.01%)
  21. 1/8     :    687,076 occurrences (  0.01%)
  22. 16/16   :    578,725 occurrences (  0.01%)
  23. 3/1     :    527,086 occurrences (  0.01%)
  24. 12/16   :    381,519 occurrences (  0.01%)
  25. 11/8    :    362,248 occurrences (  0.01%)
  26. 9/4     :    351,688 occurrences (  0.01%)
  27. 12/4    :    305,343 occurrences (  0.00%)
  28. 31/1    :    262,313 occurrences (  0.00%)
  29. 1/2     :    246,192 occurrences (  0.00%)
  30. 16/4    :    221,688 occurrences (  0.00%)
  31. 6/2     :    203,204 occurrences (  0.00%)
  32. 1/1     :    200,253 occurrences (  0.00%)
  33. 15/8    :    187,980 occurrences (  0.00%)
  34. 10/8    :    183,337 occurrences (  0.00%)
  35. 7/16    :    177,499 occurrences (  0.00%)
  36. 2/8     :    165,956 occurrences (  0.00%)
  37. 13/8    :    152,604 occurrences (  0.00%)
  38. 132/4   :    150,600 occurrences (  0.00%)
  39. 6/16    :    150,398 occurrences (  0.00%)
  40. 9/16    :    148,218 occurrences (  0.00%)
  41. 1/16    :    140,102 occurrences (  0.00%)
  42. 4/16    :    120,418 occurrences (  0.00%)
  43. 10/4    :    115,838 occurrences (  0.00%)
  44. 4/1     :    110,919 occurrences (  0.00%)
  45. 6/1     :    106,536 occurrences (  0.00%)
  46. 13/16   :     88,146 occurrences (  0.00%)
  47. 15/16   :     70,037 occurrences (  0.00%)
  48. 11/16   :     67,783 occurrences (  0.00%)
  49. 5/2     :     65,787 occurrences (  0.00%)
  50. 11/4    :     63,027 occurrences (  0.00%)
  51. 3/16    :     62,661 occurrences (  0.00%)
  52. 17/16   :     54,724 occurrences (  0.00%)
  53. 16/8    :     47,156 occurrences (  0.00%)
  54. 18/8    :     44,752 occurrences (  0.00%)
  55. 5/16    :     40,078 occurrences (  0.00%)
  56. 8/2     :     39,989 occurrences (  0.00%)
  57. 14/8    :     38,794 occurrences (  0.00%)
  58. 17/8    :     37,581 occurrences (  0.00%)
  59. 18/4    :     37,374 occurrences (  0.00%)
  60. 137/32  :     36,345 occurrences (  0.00%)
  61. 32/4    :     36,319 occurrences (  0.00%)
  62. 8/16    :     35,547 occurrences (  0.00%)
  63. 14/4    :     34,921 occurrences (  0.00%)
  64. 18/16   :     33,138 occurrences (  0.00%)
  65. 10/16   :     31,816 occurrences (  0.00%)
  66. 2/64    :     31,129 occurrences (  0.00%)
  67. 19/16   :     30,705 occurrences (  0.00%)
  68. 15/4    :     27,457 occurrences (  0.00%)
  69. 59/4    :     27,252 occurrences (  0.00%)
  70. 24/16   :     27,226 occurrences (  0.00%)
  71. 13/4    :     24,919 occurrences (  0.00%)
